id,date,store_nbr,family,sales,onpromotion,city,state,type_x,cluster,transactions,dcoilwtico,type_y,locale,locale_name,description,transferred,year,month,day,dayofweek,is_weekend
2815995,2017-05-04,21,CELEBRATION,3.0,0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,963.0,45.55,,,,,,2017,5,4,3,False
247225,2013-05-19,45,"LIQUOR,WINE,BEER",0.0,0,Quito,Pichincha,A,11,4251.0,95.72,,,,,,2013,5,19,6,True
2281532,2016-07-07,25,FROZEN FOODS,43.0,6,Salinas,Santa Elena,D,1,635.0,45.22,,,,,,2016,7,7,3,False
1711272,2015-08-21,24,MEATS,639.163,50,Guayaquil,Guayas,D,1,2572.0,40.45,,,,,,2015,8,21,4,False
2493398,2016-11-03,2,HOME APPLIANCES,0.0,0,Quito,Pichincha,D,13,1552.0,44.66,Holiday,National,Ecuador,Independencia de Cuenca,False,2016,11,3,3,False
1930983,2015-12-22,39,LINGERIE,2.0,0,Cuenca,Azuay,B,6,2175.0,36.12,Holiday,Local,Salinas,Cantonizacion de Salinas,False,2015,12,22,1,False
1088336,2014-09-04,45,PREPARED FOODS,263.978,1,Quito,Pichincha,A,11,3268.0,94.51,,,,,,2014,9,4,3,False
2098301,2016-03-26,33,PREPARED FOODS,59.0,0,Quevedo,Los Rios,C,3,1018.0,38.14,,,,,,2016,3,26,5,True
547014,2013-11-03,8,CELEBRATION,0.0,0,Quito,Pichincha,D,8,2846.0,94.56,Holiday,National,Ecuador,Independencia de Cuenca,False,2013,11,3,6,True
1385407,2015-02-19,31,BABY CARE,0.0,0,Babahoyo,Los Rios,B,10,1399.0,51.12,,,,,,2015,2,19,3,False
2258333,2016-06-24,24,FROZEN FOODS,230.323,10,Guayaquil,Guayas,D,1,2276.0,46.7,,,,,,2016,6,24,4,False
2535114,2016-11-26,4,LINGERIE,2.0,0,Quito,Pichincha,D,9,1558.0,46.72,,,,,,2016,11,26,5,True
1524589,2015-05-08,36,"LIQUOR,WINE,BEER",216.0,0,Libertad,Guayas,E,10,1106.0,59.41,,,,,,2015,5,8,4,False
2110350,2016-04-02,22,AUTOMOTIVE,10.0,0,Puyo,Pastaza,C,7,920.0,35.36,,,,,,2016,4,2,5,True
2284023,2016-07-08,44,PLAYERS AND ELECTRONICS,35.0,0,Quito,Pichincha,A,5,4271.0,45.37,,,,,,2016,7,8,4,False
1605044,2015-06-22,43,MAGAZINES,0.0,0,Esmeraldas,Esmeraldas,E,10,1408.0,60.01,,,,,,2015,6,22,0,False
1707369,2015-08-19,15,HOME AND KITCHEN I,5.0,0,Ibarra,Imbabura,C,15,1402.0,40.75,,,,,,2015,8,19,2,False
1100210,2014-09-11,29,MAGAZINES,0.0,0,Guayaquil,Guayas,E,10,0.0,92.89,,,,,,2014,9,11,3,False
2178308,2016-05-10,29,FROZEN FOODS,68.0,2,Guayaquil,Guayas,E,10,1183.0,44.68,Event,National,Ecuador,Terremoto Manabi+24,False,2016,5,10,1,False
2728577,2017-03-16,19,BREAD/BAKERY,221.0,12,Guaranda,Bolivar,C,15,980.0,48.3,,,,,,2017,3,16,3,False
1753751,2015-09-14,16,SEAFOOD,2.0,0,Santo Domingo,Santo Domingo de los Tsachilas,C,3,800.0,44.07,,,,,,2015,9,14,0,False
366981,2013-07-25,6,LINGERIE,4.0,0,Quito,Pichincha,D,13,1532.0,105.47,Holiday,Local,Guayaquil,Fundacion de Guayaquil,False,2013,7,25,3,False
1215611,2014-11-15,17,MAGAZINES,0.0,0,Quito,Pichincha,C,12,1488.0,75.91,,,,,,2014,11,15,5,True
871420,2014-05-06,1,"LIQUOR,WINE,BEER",87.0,0,Quito,Pichincha,D,13,1849.0,99.81,,,,,,2014,5,6,1,False
2032088,2016-02-18,26,HARDWARE,0.0,0,Guayaquil,Guayas,D,10,459.0,30.77,,,,,,2016,2,18,3,False
1464820,2015-04-05,1,HOME AND KITCHEN II,1.0,0,Quito,Pichincha,D,13,461.0,49.13,,,,,,2015,4,5,6,True
768439,2014-03-09,20,BABY CARE,0.0,0,Quito,Pichincha,B,6,0.0,102.82,,,,,,2014,3,9,6,True
2158555,2016-04-29,24,PERSONAL CARE,275.0,4,Guayaquil,Guayas,D,1,2399.0,45.98,Event,National,Ecuador,Terremoto Manabi+13,False,2016,4,29,4,False
1795158,2015-10-07,28,MEATS,176.966,0,Guayaquil,Guayas,E,10,981.0,47.86,Holiday,Local,Quevedo,Cantonizacion de Quevedo,False,2015,10,7,2,False
2093406,2016-03-23,46,HOME CARE,434.0,1,Quito,Pichincha,A,14,3187.0,38.28,,,,,,2016,3,23,2,False
776137,2014-03-13,36,EGGS,102.0,0,Libertad,Guayas,E,10,1034.0,98.57,,,,,,2014,3,13,3,False
1816152,2015-10-19,17,PRODUCE,1109.764,0,Quito,Pichincha,C,12,1312.0,45.91,,,,,,2015,10,19,0,False
1747301,2015-09-10,35,HOME APPLIANCES,1.0,0,Playas,Guayas,C,3,658.0,45.85,,,,,,2015,9,10,3,False
2171795,2016-05-06,45,SEAFOOD,123.165,6,Quito,Pichincha,A,11,3843.0,44.58,Event,National,Ecuador,Terremoto Manabi+20,False,2016,5,6,4,False
1157655,2014-10-13,40,HOME AND KITCHEN I,35.0,1,Machala,El Oro,C,3,1481.0,85.73,,,,,,2014,10,13,0,False
198115,2013-04-22,18,HOME AND KITCHEN II,0.0,0,Quito,Pichincha,B,16,1458.0,88.81,,,,,,2013,4,22,0,False
1100652,2014-09-11,41,BEVERAGES,1107.0,2,Machala,El Oro,D,4,899.0,92.89,,,,,,2014,9,11,3,False
589535,2013-11-27,5,MAGAZINES,0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1098.0,92.05,,,,,,2013,11,27,2,False
2271611,2016-07-01,46,MAGAZINES,12.0,0,Quito,Pichincha,A,14,3422.0,49.02,,,,,,2016,7,1,4,False
620578,2013-12-15,21,GROCERY II,0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,0.0,96.27,,,,,,2013,12,15,6,True
1915814,2015-12-14,13,SEAFOOD,2.0,0,Latacunga,Cotopaxi,C,15,861.0,36.31,,,,,,2015,12,14,0,False
2738944,2017-03-22,1,EGGS,158.0,0,Quito,Pichincha,D,13,1739.0,47.29,,,,,,2017,3,22,2,False
2439644,2016-10-04,11,LAWN AND GARDEN,1.0,0,Cayambe,Pichincha,B,6,2421.0,48.67,,,,,,2016,10,4,1,False
182193,2013-04-13,21,AUTOMOTIVE,0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,0.0,91.23,,,,,,2013,4,13,5,True
398005,2013-08-12,26,PERSONAL CARE,101.0,0,Guayaquil,Guayas,D,10,632.0,106.19,,,,,,2013,8,12,0,False
2001686,2016-02-01,23,BREAD/BAKERY,344.28,0,Ambato,Tungurahua,D,9,1021.0,31.62,,,,,,2016,2,1,0,False
1057338,2014-08-18,26,HOME CARE,0.0,0,Guayaquil,Guayas,D,10,626.0,96.44,,,,,,2014,8,18,0,False
1820241,2015-10-21,31,PLAYERS AND ELECTRONICS,9.0,0,Babahoyo,Los Rios,B,10,1205.0,45.22,,,,,,2015,10,21,2,False
2273049,2016-07-02,37,DELI,172.194,5,Cuenca,Azuay,D,2,1559.0,49.02,,,,,,2016,7,2,5,True
1526284,2015-05-09,34,BABY CARE,0.0,0,Guayaquil,Guayas,B,6,3023.0,59.41,Additional,National,Ecuador,Dia de la Madre-1,False,2015,5,9,5,True
270770,2013-06-01,7,BREAD/BAKERY,435.58398,0,Quito,Pichincha,D,8,1765.0,91.93,,,,,,2013,6,1,5,True
1891615,2015-11-30,34,"LIQUOR,WINE,BEER",14.0,0,Guayaquil,Guayas,B,6,2175.0,40.43,Event,National,Ecuador,Cyber Monday,False,2015,11,30,0,False
574888,2013-11-19,39,POULTRY,168.7,0,Cuenca,Azuay,B,6,1340.0,93.35,,,,,,2013,11,19,1,False
2603178,2017-01-04,5,CELEBRATION,18.0,1,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1379.0,53.26,,,,,,2017,1,4,2,False
2259769,2016-06-25,14,POULTRY,169.054,0,Riobamba,Chimborazo,C,7,1372.0,46.7,Holiday,Local,Machala,Fundacion de Machala,False,2016,6,25,5,True
1535832,2015-05-14,51,GROCERY I,3188.0,11,Guayaquil,Guayas,A,17,1487.0,59.89,,,,,,2015,5,14,3,False
2817335,2017-05-04,9,PET SUPPLIES,4.0,0,Quito,Pichincha,B,6,1989.0,45.55,,,,,,2017,5,4,3,False
619677,2013-12-14,46,BEVERAGES,3759.0,0,Quito,Pichincha,A,14,5245.0,96.27,,,,,,2013,12,14,5,True
2000380,2016-01-31,36,LADIESWEAR,0.0,0,Libertad,Guayas,E,10,1105.0,33.66,,,,,,2016,1,31,6,True
2020969,2016-02-12,14,HOME AND KITCHEN II,24.0,0,Riobamba,Chimborazo,C,7,1355.0,29.32,,,,,,2016,2,12,4,False
1224752,2014-11-20,23,MAGAZINES,0.0,0,Ambato,Tungurahua,D,9,987.0,75.63,,,,,,2014,11,20,3,False
1203165,2014-11-08,18,HOME CARE,222.0,0,Quito,Pichincha,B,16,1289.0,78.71,,,,,,2014,11,8,5,True
2848661,2017-05-22,38,BEAUTY,11.0,1,Loja,Loja,D,4,1366.0,50.81,,,,,,2017,5,22,0,False
1969834,2016-01-14,29,SCHOOL AND OFFICE SUPPLIES,3.0,0,Guayaquil,Guayas,E,10,955.0,31.22,,,,,,2016,1,14,3,False
1659501,2015-07-23,21,PRODUCE,0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,0.0,48.11,Holiday,Local,Cayambe,Cantonizacion de Cayambe,False,2015,7,23,3,False
1415655,2015-03-08,3,LINGERIE,20.0,0,Quito,Pichincha,D,8,3728.0,49.61,,,,,,2015,3,8,6,True
2709423,2017-03-05,30,MEATS,49.687,0,Guayaquil,Guayas,C,3,650.0,53.33,,,,,,2017,3,5,6,True
1832915,2015-10-28,37,PREPARED FOODS,141.576,0,Cuenca,Azuay,D,2,1432.0,45.93,,,,,,2015,10,28,2,False
2545383,2016-12-02,28,PLAYERS AND ELECTRONICS,6.0,0,Guayaquil,Guayas,E,10,1174.0,51.7,,,,,,2016,12,2,4,False
1903644,2015-12-07,22,CELEBRATION,3.0,0,Puyo,Pastaza,C,7,703.0,37.64,,,,,,2015,12,7,0,False
2738496,2017-03-21,46,MEATS,771.147,0,Quito,Pichincha,A,14,2938.0,47.02,,,,,,2017,3,21,1,False
972511,2014-07-01,46,BABY CARE,0.0,0,Quito,Pichincha,A,14,3170.0,106.06,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final,False,2014,7,1,1,False
482813,2013-09-28,6,MAGAZINES,0.0,0,Quito,Pichincha,D,13,2124.0,102.86,Holiday,Local,Ibarra,Fundacion de Ibarra,False,2013,9,28,5,True
2676240,2017-02-14,5,CELEBRATION,37.0,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1838.0,53.21,,,,,,2017,2,14,1,False
1933215,2015-12-23,51,DELI,392.093,0,Guayaquil,Guayas,A,17,3292.0,36.76,Additional,National,Ecuador,Navidad-2,False,2015,12,23,2,False
2488230,2016-10-31,24,PRODUCE,2797.518,1,Guayaquil,Guayas,D,1,2050.0,46.83,,,,,,2016,10,31,0,False
542068,2013-11-01,19,EGGS,28.0,0,Guaranda,Bolivar,C,15,1193.0,94.56,,,,,,2013,11,1,4,False
1570821,2015-06-03,33,LINGERIE,14.0,0,Quevedo,Los Rios,C,3,1025.0,59.67,,,,,,2015,6,3,2,False
444660,2013-09-07,35,HOME CARE,0.0,0,Playas,Guayas,C,3,647.0,110.62,,,,,,2013,9,7,5,True
1512927,2015-05-02,1,DELI,140.106,1,Quito,Pichincha,D,13,1221.0,59.1,,,,,,2015,5,2,5,True
1779918,2015-09-28,5,PRODUCE,1487.791,0,Santo Domingo,Santo Domingo de los Tsachilas,D,4,1282.0,44.4,Holiday,Local,Ibarra,Fundacion de Ibarra,False,2015,9,28,0,False
2596783,2017-01-01,20,GROCERY II,0.0,0,Quito,Pichincha,B,6,0.0,53.75,Holiday,National,Ecuador,Primer dia del ano,True,2017,1,1,6,True
493423,2013-10-04,53,CLEANING,0.0,0,Manta,Manabi,D,13,0.0,103.83,,,,,,2013,10,4,4,False
2934022,2017-07-09,32,PERSONAL CARE,95.0,4,Guayaquil,Guayas,C,3,688.0,44.25,,,,,,2017,7,9,6,True
441110,2013-09-05,35,SEAFOOD,0.0,0,Playas,Guayas,C,3,572.0,108.5,,,,,,2013,9,5,3,False
775098,2014-03-12,7,PLAYERS AND ELECTRONICS,11.0,0,Quito,Pichincha,D,8,1935.0,98.29,,,,,,2014,3,12,2,False
1488553,2015-04-18,25,"LIQUOR,WINE,BEER",926.0,0,Salinas,Santa Elena,D,1,1498.0,55.71,,,,,,2015,4,18,5,True
2337446,2016-08-07,43,MAGAZINES,0.0,0,Esmeraldas,Esmeraldas,E,10,1336.0,41.83,,,,,,2016,8,7,6,True
1735386,2015-09-03,50,HOME AND KITCHEN I,46.0,0,Ambato,Tungurahua,A,14,2233.0,46.75,,,,,,2015,9,3,3,False
339525,2013-07-10,35,LINGERIE,2.0,0,Playas,Guayas,C,3,466.0,106.41,,,,,,2013,7,10,2,False
1476671,2015-04-11,41,LAWN AND GARDEN,7.0,0,Machala,El Oro,D,4,1220.0,51.63,,,,,,2015,4,11,5,True
2312022,2016-07-24,30,DELI,109.0,1,Guayaquil,Guayas,C,3,593.0,43.41,Additional,Local,Guayaquil,Fundacion de Guayaquil-1,False,2016,7,24,6,True
2053970,2016-03-01,4,HOME APPLIANCES,0.0,0,Quito,Pichincha,D,9,1476.0,34.39,,,,,,2016,3,1,1,False
33370,2013-01-19,45,CLEANING,2651.0,0,Quito,Pichincha,A,11,3984.0,95.61,,,,,,2013,1,19,5,True
800162,2014-03-27,10,FROZEN FOODS,17.0,0,Quito,Pichincha,C,15,873.0,101.25,,,,,,2014,3,27,3,False
1845072,2015-11-04,29,DELI,209.822,0,Guayaquil,Guayas,E,10,958.0,46.32,,,,,,2015,11,4,2,False
1120106,2014-09-22,37,LAWN AND GARDEN,11.0,0,Cuenca,Azuay,D,2,1395.0,91.46,,,,,,2014,9,22,0,False
359902,2013-07-21,8,BOOKS,0.0,0,Quito,Pichincha,D,8,2581.0,108.0,,,,,,2013,7,21,6,True
2596277,2016-12-31,7,BEAUTY,5.0,1,Quito,Pichincha,D,8,2124.0,53.75,Additional,National,Ecuador,Primer dia del ano-1,False,2016,12,31,5,True
220807,2013-05-04,54,BOOKS,0.0,0,El Carmen,Manabi,C,3,996.0,95.25,,,,,,2013,5,4,5,True
906893,2014-05-25,54,LAWN AND GARDEN,0.0,0,El Carmen,Manabi,C,3,1212.0,105.01,,,,,,2014,5,25,6,True
1640402,2015-07-12,36,BREAD/BAKERY,733.0,62,Libertad,Guayas,E,10,1242.0,52.74,,,,,,2015,7,12,6,True
530107,2013-10-25,32,POULTRY,37.645,0,Guayaquil,Guayas,C,3,564.0,97.4,,,,,,2013,10,25,4,False
112185,2013-03-04,7,HOME CARE,0.0,0,Quito,Pichincha,D,8,1877.0,90.13,,,,,,2013,3,4,0,False
2419410,2016-09-22,43,HOME AND KITCHEN I,16.0,0,Esmeraldas,Esmeraldas,E,10,1005.0,46.1,,,,,,2016,9,22,3,False
1167933,2014-10-19,29,PRODUCE,0.0,0,Guayaquil,Guayas,E,10,0.0,82.8,,,,,,2014,10,19,6,True
905408,2014-05-25,13,LAWN AND GARDEN,0.0,0,Latacunga,Cotopaxi,C,15,943.0,105.01,,,,,,2014,5,25,6,True
971062,2014-06-30,6,BOOKS,0.0,0,Quito,Pichincha,D,13,1735.0,106.07,Event,National,Ecuador,Mundial de futbol Brasil: Octavos de Final,False,2014,6,30,0,False
2377912,2016-08-30,29,SCHOOL AND OFFICE SUPPLIES,1.0,0,Guayaquil,Guayas,E,10,1089.0,46.32,,,,,,2016,8,30,1,False
2314455,2016-07-25,49,AUTOMOTIVE,5.0,0,Quito,Pichincha,A,11,2565.0,42.4,Holiday,Local,Guayaquil,Fundacion de Guayaquil,True,2016,7,25,0,False
2877522,2017-06-07,47,LINGERIE,3.0,0,Quito,Pichincha,A,14,3692.0,45.8,,,,,,2017,6,7,2,False
1315258,2015-01-11,13,EGGS,80.0,1,Latacunga,Cotopaxi,C,15,907.0,48.35,,,,,,2015,1,11,6,True
1542622,2015-05-18,42,BOOKS,0.0,0,Cuenca,Azuay,D,2,0.0,59.44,,,,,,2015,5,18,0,False
832214,2014-04-14,1,LAWN AND GARDEN,1.0,0,Quito,Pichincha,D,13,1880.0,104.05,Holiday,Local,Libertad,Cantonizacion de Libertad,False,2014,4,14,0,False
1271015,2014-12-16,21,LAWN AND GARDEN,0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,0.0,55.97,,,,,,2014,12,16,1,False
1223339,2014-11-19,33,PREPARED FOODS,32.0,0,Quevedo,Los Rios,C,3,1007.0,74.55,,,,,,2014,11,19,2,False
808785,2014-03-31,51,LINGERIE,1.0,0,Guayaquil,Guayas,A,17,1700.0,101.57,,,,,,2014,3,31,0,False
1316859,2015-01-11,8,PLAYERS AND ELECTRONICS,0.0,0,Quito,Pichincha,D,8,2782.0,48.35,,,,,,2015,1,11,6,True
16366,2013-01-10,18,SCHOOL AND OFFICE SUPPLIES,0.0,0,Quito,Pichincha,B,16,1219.0,93.81,,,,,,2013,1,10,3,False
1108635,2014-09-16,16,AUTOMOTIVE,4.0,0,Santo Domingo,Santo Domingo de los Tsachilas,C,3,958.0,94.91,,,,,,2014,9,16,1,False
1612435,2015-06-26,50,"LIQUOR,WINE,BEER",116.0,0,Ambato,Tungurahua,A,14,2328.0,59.41,,,,,,2015,6,26,4,False
808360,2014-03-31,4,PERSONAL CARE,221.0,0,Quito,Pichincha,D,9,1437.0,101.57,,,,,,2014,3,31,0,False
2958660,2017-07-23,24,GROCERY I,3408.0,69,Guayaquil,Guayas,D,1,1516.0,45.78,Holiday,Local,Cayambe,Cantonizacion de Cayambe,False,2017,7,23,6,True
2226285,2016-06-06,25,CELEBRATION,0.0,0,Salinas,Santa Elena,D,1,610.0,49.71,,,,,,2016,6,6,0,False
1733276,2015-09-02,41,HOME APPLIANCES,0.0,0,Machala,El Oro,D,4,1112.0,46.3,,,,,,2015,9,2,2,False
1577623,2015-06-07,24,PERSONAL CARE,320.0,0,Guayaquil,Guayas,D,1,1880.0,59.11,,,,,,2015,6,7,6,True
254044,2013-05-23,37,EGGS,151.0,0,Cuenca,Azuay,D,2,1459.0,94.12,,,,,,2013,5,23,3,False
2803972,2017-04-27,33,POULTRY,188.044,0,Quevedo,Los Rios,C,3,806.0,48.96,,,,,,2017,4,27,3,False
2238515,2016-06-13,18,PET SUPPLIES,3.0,0,Quito,Pichincha,B,16,1156.0,48.89,,,,,,2016,6,13,0,False
696518,2014-01-27,51,LAWN AND GARDEN,10.0,0,Guayaquil,Guayas,A,17,1569.0,95.82,,,,,,2014,1,27,0,False
2155374,2016-04-27,35,GROCERY I,1389.0,27,Playas,Guayas,C,3,594.0,45.29,Event,National,Ecuador,Terremoto Manabi+11,False,2016,4,27,2,False
1976009,2016-01-17,52,BEAUTY,0.0,0,Manta,Manabi,A,11,0.0,29.45,,,,,,2016,1,17,6,True
74358,2013-02-11,45,DELI,500.027,0,Quito,Pichincha,A,11,3411.0,97.01,Holiday,National,Ecuador,Carnaval,False,2013,2,11,0,False
2801970,2017-04-26,28,CELEBRATION,9.0,0,Guayaquil,Guayas,E,10,1116.0,49.22,,,,,,2017,4,26,2,False
1458938,2015-04-01,44,DAIRY,3181.0,1,Quito,Pichincha,A,5,4538.0,50.12,Holiday,Regional,Cotopaxi,Provincializacion de Cotopaxi,False,2015,4,1,2,False
1784015,2015-10-01,16,BEAUTY,0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,C,3,755.0,44.75,,,,,,2015,10,1,3,False
669595,2014-01-12,46,PERSONAL CARE,1221.0,0,Quito,Pichincha,A,14,4830.0,92.39,,,,,,2014,1,12,6,True
76126,2013-02-12,44,POULTRY,583.025,0,Quito,Pichincha,A,5,3904.0,97.48,Holiday,National,Ecuador,Carnaval,False,2013,2,12,1,False
818474,2014-04-06,24,DAIRY,899.0,0,Guayaquil,Guayas,D,1,1766.0,101.16,,,,,,2014,4,6,6,True
1829897,2015-10-26,52,HARDWARE,0.0,0,Manta,Manabi,A,11,0.0,43.19,,,,,,2015,10,26,0,False
1329357,2015-01-18,9,HOME CARE,0.0,0,Quito,Pichincha,B,6,2397.0,48.49,,,,,,2015,1,18,6,True
1210993,2014-11-12,37,PERSONAL CARE,210.0,0,Cuenca,Azuay,D,2,1611.0,77.16,Holiday,Local,Ambato,Independencia de Ambato,False,2014,11,12,2,False
1558681,2015-05-27,42,PERSONAL CARE,0.0,0,Cuenca,Azuay,D,2,0.0,57.51,,,,,,2015,5,27,2,False
130291,2013-03-15,15,CLEANING,609.0,0,Ibarra,Imbabura,C,15,1153.0,93.49,,,,,,2013,3,15,4,False
1198856,2014-11-05,46,SEAFOOD,31.261,0,Quito,Pichincha,A,14,3340.0,78.71,,,,,,2014,11,5,2,False
2552835,2016-12-06,37,LINGERIE,3.0,0,Cuenca,Azuay,D,2,1435.0,50.95,Holiday,Local,Quito,Fundacion de Quito,False,2016,12,6,1,False
2181476,2016-05-12,18,FROZEN FOODS,46.0,1,Quito,Pichincha,B,16,1260.0,46.64,Holiday,Local,Puyo,Cantonizacion del Puyo,False,2016,5,12,3,False
863502,2014-05-01,37,MEATS,209.736,0,Cuenca,Azuay,D,2,1465.0,99.69,Holiday,National,Ecuador,Dia del Trabajo,False,2014,5,1,3,False
2344534,2016-08-11,42,HOME AND KITCHEN II,12.0,0,Cuenca,Azuay,D,2,988.0,43.51,,,,,,2016,8,11,3,False
282783,2013-06-08,43,CELEBRATION,0.0,0,Esmeraldas,Esmeraldas,E,10,1309.0,96.11,,,,,,2013,6,8,5,True
357629,2013-07-20,43,DAIRY,71.0,0,Esmeraldas,Esmeraldas,E,10,1240.0,108.0,,,,,,2013,7,20,5,True
1941590,2015-12-29,37,BEAUTY,3.0,0,Cuenca,Azuay,D,2,1676.0,37.88,,,,,,2015,12,29,1,False
112924,2013-03-05,27,SCHOOL AND OFFICE SUPPLIES,0.0,0,Daule,Guayas,D,1,1086.0,90.88,,,,,,2013,3,5,1,False
2573001,2016-12-17,52,MEATS,0.0,0,Manta,Manabi,A,11,0.0,51.93,,,,,,2016,12,17,5,True
2167708,2016-05-04,31,BOOKS,0.0,0,Babahoyo,Los Rios,B,10,1259.0,43.77,Event,National,Ecuador,Terremoto Manabi+18,False,2016,5,4,2,False
1450647,2015-03-28,12,AUTOMOTIVE,3.0,0,Latacunga,Cotopaxi,C,15,1178.0,48.83,,,,,,2015,3,28,5,True
774337,2014-03-12,35,PERSONAL CARE,97.0,0,Playas,Guayas,C,3,580.0,98.29,,,,,,2014,3,12,2,False
2939889,2017-07-12,47,HOME CARE,530.0,14,Quito,Pichincha,A,14,3586.0,45.48,,,,,,2017,7,12,2,False
200341,2013-04-23,3,SCHOOL AND OFFICE SUPPLIES,0.0,0,Quito,Pichincha,D,8,2795.0,89.21,,,,,,2013,4,23,1,False
828397,2014-04-11,51,SCHOOL AND OFFICE SUPPLIES,0.0,0,Guayaquil,Guayas,A,17,1792.0,103.68,,,,,,2014,4,11,4,False
1279600,2014-12-21,12,PERSONAL CARE,204.0,0,Latacunga,Cotopaxi,C,15,1537.0,56.91,Additional,National,Ecuador,Navidad-4,False,2014,12,21,6,True
1641655,2015-07-13,21,BOOKS,0.0,0,Santo Domingo,Santo Domingo de los Tsachilas,B,6,0.0,52.19,,,,,,2015,7,13,0,False
937097,2014-06-11,51,PREPARED FOODS,232.293,0,Guayaquil,Guayas,A,17,1824.0,105.04,,,,,,2014,6,11,2,False
360770,2013-07-22,31,HARDWARE,1.0,0,Babahoyo,Los Rios,B,10,1190.0,106.61,,,,,,2013,7,22,0,False
859475,2014-04-29,24,MAGAZINES,0.0,0,Guayaquil,Guayas,D,1,0.0,101.56,,,,,,2014,4,29,1,False
259501,2013-05-26,4,"LIQUOR,WINE,BEER",0.0,0,Quito,Pichincha,D,9,1553.0,93.84,,,,,,2013,5,26,6,True
1745390,2015-09-09,31,LAWN AND GARDEN,0.0,0,Babahoyo,Los Rios,B,10,1208.0,44.13,,,,,,2015,9,9,2,False
2721219,2017-03-12,12,CELEBRATION,8.0,0,Latacunga,Cotopaxi,C,15,1164.0,48.05,,,,,,2017,3,12,6,True
1128484,2014-09-27,22,HOME AND KITCHEN II,0.0,0,Puyo,Pastaza,C,7,0.0,95.55,,,,,,2014,9,27,5,True
300268,2013-06-18,34,BABY CARE,0.0,0,Guayaquil,Guayas,B,6,2232.0,98.46,,,,,,2013,6,18,1,False
2251094,2016-06-20,20,SEAFOOD,4.826,1,Quito,Pichincha,B,6,1322.0,49.4,,,,,,2016,6,20,0,False
755643,2014-03-02,11,DELI,644.604,0,Cayambe,Pichincha,B,6,3020.0,102.88,Holiday,Local,Manta,Fundacion de Manta,False,2014,3,2,6,True
2759505,2017-04-02,36,GROCERY I,4241.578,57,Libertad,Guayas,E,10,1176.0,50.54,,,,,,2017,4,2,6,True
